symbol_size,num_symbols,code_rate,loss_rate,encoding_time,decoding_time,enc_throughput,dec_throughput
1024,128,0.00,0.00,4.6,4.47,28493.91,29322.60
1024,128,0.10,0.01,4.68,5.22,28006.84,25109.58
1024,128,0.11,0.02,4.7,5.36,27887.66,24453.73
1024,128,0.14,0.03,4.75,5.73,27594.11,22874.69
1024,128,0.14,0.04,4.75,5.91,27594.11,22178.00
1024,128,0.15,0.05,4.79,6.23,27363.67,21038.84
1024,128,0.18,0.06,4.81,6.55,27249.90,20010.99
1024,128,0.18,0.07,4.8,6.73,27306.67,19475.78
1024,128,0.20,0.08,4.82,6.9,27193.36,18995.94
1024,128,0.28,0.10,5.17,7.67,25352.42,17088.92
1024,192,0.00,0.00,9.69,9.4,20289.78,20915.74
1024,192,0.06,0.01,9.77,10.53,20123.64,18671.23
1024,192,0.09,0.02,9.82,11.45,20021.18,17171.00
1024,192,0.10,0.03,9.85,12.01,19960.20,16370.36
1024,192,0.12,0.04,9.86,12.63,19939.96,15566.75
1024,192,0.14,0.05,9.91,13.31,19839.35,14771.45
1024,192,0.24,0.07,10.33,15.09,19032.72,13029.03
1024,192,0.29,0.06,10.71,15.44,18357.42,12733.68
1024,256,0.00,0.00,16.13,15.46,16251.95,16956.27
1024,256,0.06,0.01,16.3,17.65,16082.45,14852.35
1024,256,0.08,0.02,16.35,18.64,16033.27,14063.52
1024,256,0.09,0.03,16.31,20.19,16072.59,12983.85
1024,256,0.10,0.04,16.3,21.13,16082.45,12406.25
1024,256,0.12,0.05,16.46,22.87,15926.12,11462.35
1024,256,0.16,0.07,16.75,25.88,15650.39,10129.21
1024,256,0.19,0.06,16.95,25.67,15465.72,10212.08
1024,256,0.24,0.08,17.34,28.88,15117.88,9077.01
1024,320,0.00,0.00,24.23,24.6,13523.73,13320.33
1024,320,0.06,0.01,24.36,28.19,13451.56,11623.98
1024,320,0.07,0.02,24.51,29.42,13369.24,11138.00
1024,320,0.08,0.03,24.41,31.47,13424.01,10412.46
1024,320,0.10,0.04,24.68,33.42,13277.15,9804.91
1024,320,0.11,0.05,24.71,35.97,13261.03,9109.81
1024,320,0.14,0.06,25.02,38.67,13096.72,8473.75
1024,320,0.18,0.07,25.41,41.18,12895.71,7957.26
1024,320,0.22,0.09,26.13,46.19,12540.38,7094.18
1024,320,0.30,0.10,27.92,51.67,11736.39,6341.78
1024,384,0.00,0.00,34.66,34.4,11344.95,11430.70
1024,384,0.04,0.01,34.79,39.5,11302.56,9954.84
1024,384,0.07,0.02,34.86,43.07,11279.86,9129.70
1024,384,0.08,0.03,34.99,46.11,11237.95,8527.78
1024,384,0.09,0.04,34.92,49.01,11260.48,8023.18
1024,384,0.11,0.05,35.28,51.04,11145.58,7704.08
1024,384,0.14,0.07,35.66,57.75,11026.81,6808.94
1024,384,0.24,0.10,37.41,71.29,10510.99,5515.72
1024,384,0.25,0.06,37.66,60.51,10441.21,6498.36
1024,384,0.27,0.08,38.31,67.33,10264.06,5840.13
1024,448,0.00,0.00,47.5,44.9,9657.94,10217.19
1024,448,0.04,0.01,47.68,50.11,9621.48,9154.90
1024,448,0.06,0.02,47.87,55.8,9583.29,8221.36
1024,448,0.07,0.03,47.99,59.99,9559.32,7647.14
1024,448,0.08,0.04,47.98,62.85,9561.32,7299.16
1024,448,0.12,0.06,48.69,73.03,9421.89,6281.69
1024,448,0.14,0.07,49.1,79.32,9343.22,5783.56
1024,448,0.17,0.05,49.75,72.51,9221.15,6326.74
1024,448,0.17,0.09,49.88,88.47,9197.11,5185.40
1024,448,0.19,0.10,50.46,94.78,9091.40,4840.18
1024,448,0.21,0.08,50.83,87.58,9025.22,5238.09
1024,512,0.00,0.00,63.63,61.79,8239.64,8485.00
1024,512,0.04,0.01,63.77,69.21,8221.55,7575.32
1024,512,0.05,0.02,63.73,74.79,8226.71,7010.14
1024,512,0.06,0.03,63.82,81.33,8215.10,6446.43
1024,512,0.09,0.04,64.46,87.14,8133.54,6016.62
1024,512,0.10,0.05,64.53,94.15,8124.72,5568.65
1024,512,0.17,0.07,65.9,110.4,7955.81,4748.99
1024,512,0.18,0.08,66.16,115.3,7924.55,4547.16
1024,512,0.24,0.06,68.4,112.61,7665.03,4655.79
128,128,0.00,0.00,0.73,2,22443.84,8192.00
128,128,0.10,0.01,0.74,2.41,22140.54,6798.34
128,128,0.11,0.02,0.74,2.63,22140.54,6229.66
128,128,0.14,0.03,0.75,2.9,21845.33,5649.66
128,128,0.14,0.04,0.75,3.08,21845.33,5319.48
128,128,0.15,0.05,0.75,3.33,21845.33,4920.12
128,128,0.18,0.06,0.76,3.62,21557.89,4525.97
128,128,0.20,0.07,0.76,3.89,21557.89,4211.83
128,128,0.23,0.08,0.79,4.17,20739.24,3929.02
128,192,0.00,0.00,1.58,4.1,15554.43,5994.15
128,192,0.06,0.01,1.58,4.91,15554.43,5005.30
128,192,0.09,0.02,1.62,5.58,15170.37,4404.30
