symbol_size,num_symbols,code_rate,loss_rate,encoding_time,decoding_time,enc_throughput,dec_throughput
1024,128,0.00,0.00,4.6,4.47,28493.91,29322.60
1024,128,0.10,0.01,4.68,5.2,28006.84,25206.15
1024,128,0.11,0.02,4.68,5.36,28006.84,24453.73
1024,128,0.14,0.03,4.75,5.73,27594.11,22874.69
1024,128,0.14,0.04,4.75,5.91,27594.11,22178.00
1024,128,0.15,0.05,4.77,6.23,27478.41,21038.84
1024,128,0.18,0.07,4.84,6.75,27080.99,19418.07
1024,128,0.21,0.06,4.92,6.66,26640.65,19680.48
1024,128,0.33,0.09,5.37,7.74,24408.19,16934.37
1024,128,0.35,0.08,5.45,7.83,24049.91,16739.72
1024,128,0.46,0.10,6.42,8.86,20416.20,14793.68
1024,16,0.00,0.00,0.14,0.16,117028.57,102400.00
1024,16,0.22,0.01,0.15,0.17,109226.67,96376.47
1024,16,0.31,0.02,0.17,0.18,96376.47,91022.22
1024,16,0.35,0.03,0.17,0.18,96376.47,91022.22
1024,16,0.47,0.05,0.2,0.2,81920.00,81920.00
1024,16,0.49,0.04,0.21,0.2,78019.05,81920.00
1024,16,0.49,0.06,0.21,0.2,78019.05,81920.00
1024,256,0.00,0.00,16.12,15.46,16262.03,16956.27
1024,256,0.06,0.01,16.27,17.68,16112.11,14827.15
1024,256,0.08,0.02,16.32,18.67,16062.75,14040.92
1024,256,0.09,0.03,16.32,20.2,16062.75,12977.43
1024,256,0.10,0.04,16.34,21.1,16043.08,12423.89
1024,256,0.12,0.05,16.49,22.91,15897.15,11442.34
1024,256,0.19,0.06,16.95,25.7,15465.72,10200.16
1024,256,0.31,0.10,18.37,33.02,14270.22,7938.95
1024,256,0.32,0.08,18.51,30.49,14162.29,8597.70
1024,256,0.34,0.07,19.04,30.15,13768.07,8694.66
1024,256,0.49,0.09,23.89,36.47,10972.96,7187.94
1024,32,0.00,0.00,0.39,0.41,84020.51,79921.95
1024,32,0.22,0.01,0.44,0.51,74472.73,64250.98
1024,32,0.27,0.02,0.44,0.52,74472.73,63015.38
1024,32,0.32,0.03,0.48,0.53,68266.67,61826.42
1024,32,0.33,0.04,0.46,0.55,71234.78,59578.18
1024,32,0.33,0.05,0.47,0.55,69719.15,59578.18
1024,32,0.49,0.06,0.62,0.62,52851.61,52851.61
1024,512,0.00,0.00,63.7,61.75,8230.58,8490.49
1024,512,0.04,0.01,63.82,69.33,8215.10,7562.21
1024,512,0.05,0.02,63.82,74.83,8215.10,7006.39
1024,512,0.06,0.03,63.81,81.38,8216.39,6442.47
1024,512,0.11,0.05,64.63,93.58,8112.15,5602.56
1024,512,0.13,0.06,65,101.62,8065.97,5159.30
1024,512,0.15,0.07,65.49,108.44,8005.62,4834.82
1024,512,0.15,0.08,65.51,113.44,8003.18,4621.72
1024,512,0.16,0.04,65.56,92.47,7997.07,5669.82
1024,512,0.25,0.09,69.24,128.6,7572.04,4076.89
1024,512,0.37,0.10,76.34,149.27,6867.80,3512.35
1024,64,0.00,0.00,1.07,1.4,61248.60,46811.43
1024,64,0.14,0.01,1.13,1.65,57996.46,39718.79
1024,64,0.14,0.02,1.13,1.68,57996.46,39009.52
1024,64,0.17,0.03,1.13,1.74,57996.46,37664.37
1024,64,0.20,0.04,1.16,1.79,56496.55,36612.29
1024,64,0.23,0.05,1.18,1.88,55538.98,34859.57
1024,64,0.29,0.06,1.24,2.03,52851.61,32283.74
1024,64,0.30,0.08,1.24,2.07,52851.61,31659.90
1024,64,0.36,0.09,1.3,2.16,50412.31,30340.74
1024,64,0.48,0.07,1.61,2.26,40705.59,28998.23
1024,8,0.00,0.00,0.06,0.07,136533.33,117028.57
1024,8,0.39,0.01,0.07,0.08,117028.57,102400.00
