symbol_size,num_symbols,code_rate,loss_rate,encoding_time,decoding_time,enc_throughput,dec_throughput
1024,128,0.00,0.00,4.6,4.46,28493.91,29388.34
1024,128,0.10,0.01,4.67,5.22,28066.81,25109.58
1024,128,0.11,0.02,4.69,5.37,27947.12,24408.19
1024,128,0.14,0.03,4.74,5.72,27652.32,22914.69
1024,128,0.14,0.04,4.75,5.91,27594.11,22178.00
1024,128,0.15,0.05,4.78,6.24,27420.92,21005.13
1024,128,0.18,0.06,4.82,6.57,27193.36,19950.08
1024,128,0.20,0.07,4.81,6.71,27249.90,19533.83
1024,128,0.21,0.08,4.92,7.02,26640.65,18671.23
1024,128,0.30,0.09,5.26,7.57,24918.63,17314.66
1024,128,0.52,0.10,7.23,9.28,18128.91,14124.14
1024,16,0.00,0.00,0.14,0.15,117028.57,109226.67
1024,16,0.22,0.01,0.15,0.17,109226.67,96376.47
1024,16,0.31,0.02,0.17,0.18,96376.47,91022.22
1024,16,0.35,0.03,0.17,0.18,96376.47,91022.22
1024,16,0.49,0.04,0.21,0.2,78019.05,81920.00
1024,16,0.69,0.06,0.33,0.25,49648.48,65536.00
1024,16,0.70,0.05,0.34,0.25,48188.24,65536.00
1024,256,0.00,0.00,16.15,15.5,16231.83,16912.52
1024,256,0.06,0.01,16.29,17.67,16092.33,14835.54
1024,256,0.08,0.02,16.34,18.7,16043.08,14018.40
1024,256,0.09,0.03,16.39,20.24,15994.14,12951.78
1024,256,0.10,0.04,16.32,21.09,16062.75,12429.78
1024,256,0.12,0.05,16.45,22.84,15935.81,11477.41
1024,256,0.14,0.06,16.55,24.06,15839.52,10895.43
1024,256,0.19,0.09,16.96,29.02,15456.60,9033.22
1024,256,0.33,0.10,19.01,33.17,13789.79,7903.04
1024,256,0.36,0.07,19.39,30.22,13519.55,8674.52
1024,32,0.00,0.00,0.39,0.42,84020.51,78019.05
1024,32,0.22,0.01,0.44,0.51,74472.73,64250.98
1024,32,0.27,0.02,0.44,0.53,74472.73,61826.42
1024,32,0.33,0.03,0.47,0.55,69719.15,59578.18
1024,32,0.33,0.04,0.46,0.55,71234.78,59578.18
1024,32,0.33,0.05,0.47,0.55,69719.15,59578.18
1024,32,0.36,0.07,0.48,0.57,68266.67,57487.72
1024,32,0.41,0.08,0.52,0.61,63015.38,53718.03
1024,32,0.69,0.06,0.99,0.64,33098.99,51200.00
1024,512,0.00,0.00,63.68,61.7,8233.17,8497.37
1024,512,0.04,0.01,63.7,69.28,8230.58,7567.67
1024,512,0.05,0.02,63.76,74.77,8222.84,7012.01
1024,512,0.06,0.03,63.75,81.46,8224.13,6436.14
1024,512,0.10,0.05,64.51,94.06,8127.24,5573.97
1024,512,0.13,0.06,65.07,101.78,8057.29,5151.19
1024,512,0.16,0.04,65.52,92.5,8001.95,5667.98
1024,512,0.23,0.07,68.08,115.33,7701.06,4545.98
1024,512,0.25,0.08,69.17,123.18,7579.70,4256.28
1024,512,0.28,0.10,70.47,139.18,7439.88,3766.98
1024,512,0.33,0.09,73.73,139.15,7110.92,3767.79
1024,64,0.00,0.00,1.07,1.41,61248.60,46479.43
1024,64,0.14,0.01,1.13,1.65,57996.46,39718.79
1024,64,0.14,0.02,1.13,1.68,57996.46,39009.52
1024,64,0.17,0.03,1.13,1.75,57996.46,37449.14
1024,64,0.20,0.04,1.15,1.8,56987.83,36408.89
1024,64,0.23,0.05,1.18,1.87,55538.98,35045.99
1024,64,0.33,0.07,1.28,2.09,51200.00,31356.94
1024,64,0.33,0.08,1.28,2.11,51200.00,31059.72
1024,64,0.34,0.10,1.28,2.14,51200.00,30624.30
1024,64,0.35,0.06,1.3,2.01,50412.31,32604.98
1024,64,0.42,0.09,1.51,2.24,43401.32,29257.14
1024,8,0.00,0.00,0.06,0.07,136533.33,117028.57
1024,8,0.39,0.01,0.07,0.08,117028.57,102400.00
1024,8,0.66,0.02,0.11,0.08,74472.73,102400.00
